Task,Alt,Salary,Location,CompanyType,Growth,WorkLife,JobSecurity,Chosen
418,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
419,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
419,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
420,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
420,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
421,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
421,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
422,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
422,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
423,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
423,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
424,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
424,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
425,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
425,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
426,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
426,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
427,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
427,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
428,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
428,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
429,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
429,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
430,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
430,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
431,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
431,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
432,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
432,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
433,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
433,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
434,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
434,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
435,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
435,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
436,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
436,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
437,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
437,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
438,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
438,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
439,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
439,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
440,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
440,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
441,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
441,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
442,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
442,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
443,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
443,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
444,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
444,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
445,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
445,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
446,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
446,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
447,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
447,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
448,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
448,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
449,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
449,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
450,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
450,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
451,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
451,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
452,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
452,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
453,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
453,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
454,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
454,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
455,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
455,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
456,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
456,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
457,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
457,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
458,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
458,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
459,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
459,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
460,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
460,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
461,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
461,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
462,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
462,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
463,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
463,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
464,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
464,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
465,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
465,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
466,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
466,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
467,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
467,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
468,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
468,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
469,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
469,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
470,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
470,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
471,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
471,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
472,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
472,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
473,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
473,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
474,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
474,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
475,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
475,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
476,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
476,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
477,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
477,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
478,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
478,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
479,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
479,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
480,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
480,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
481,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
481,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
482,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
482,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
483,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
483,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
484,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
484,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
485,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
485,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
486,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
486,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
487,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
487,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
488,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
488,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
489,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
489,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
490,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
490,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
491,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
491,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
492,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
492,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
493,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
493,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
494,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
494,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
495,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
495,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
496,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
496,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
497,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
497,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
498,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
498,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
499,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
499,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
500,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
500,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
501,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
501,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
502,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
502,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
503,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
503,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
504,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
504,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
505,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
505,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
506,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
506,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
507,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
507,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
508,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
508,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
509,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
509,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
510,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
510,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
511,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
511,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
512,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
512,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
513,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
513,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
514,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
514,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
515,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
515,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
516,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
516,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
517,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
517,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
518,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
518,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
519,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
519,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
520,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
520,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
521,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
521,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
522,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
522,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
523,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
523,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
524,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
524,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
525,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
525,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
526,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
526,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
527,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
527,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
528,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
528,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
529,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
529,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
530,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
530,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
531,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
531,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
532,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
532,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
533,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
533,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
534,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
534,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
535,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
535,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
536,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
536,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
537,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
537,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
538,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
538,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
539,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
539,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
540,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
540,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
541,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
541,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
542,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
542,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
543,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
543,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
544,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
544,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
545,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
545,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
546,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
546,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
547,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
547,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
548,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
548,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
549,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
549,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
550,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
550,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
551,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
551,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
552,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
552,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
553,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
553,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
554,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
554,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
555,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
555,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
556,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
556,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
557,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
557,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
558,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
558,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
559,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
559,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
560,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
560,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
